,time,temp,humid,CO2
1,2018-03-01T17:25:07.409Z,30,2302,2312
1,2018-03-01T18:53:05.897Z,26.4,4886,449
1,2018-03-01T18:56:15.894Z,26.4,4886,449
1,2018-03-03T11:48:13.449Z,30,2000,50
1,2018-03-03T12:02:40.424Z,30,2000,50
1,2018-03-03T12:02:52.224Z,30,2000,50
1,2018-03-03T12:03:03.931Z,30,2000,50
1,2018-03-03T12:03:15.664Z,30,2000,50
1,2018-03-04T14:01:47.258Z,30,2000,50
1,2018-03-04T14:01:58.978Z,30,2000,50
1,2018-03-04T14:02:10.727Z,30,2000,50
1,2018-03-04T14:02:22.442Z,30,2000,50
1,2018-03-04T14:11:49.630Z,30,2000,50
1,2018-03-04T14:12:01.322Z,30,2000,50
1,2018-03-04T14:12:13.033Z,30,2000,50
1,2018-03-04T14:12:24.785Z,30,2000,50
1,2018-03-04T14:21:55.955Z,30,2000,50
1,2018-03-04T14:22:08.437Z,30,2000,50
1,2018-03-04T14:22:20.097Z,30,2000,50
1,2018-03-04T14:22:31.745Z,30,2000,50
1,2018-03-04T14:25:31.815Z,30,2000,50
1,2018-03-04T14:25:43.587Z,30,2000,50
1,2018-03-04T14:25:55.292Z,30,2000,50
1,2018-03-04T14:26:06.999Z,30,2000,50
1,2018-03-04T14:31:56.213Z,24.1,5120,900
1,2018-03-04T14:32:10.792Z,24.17,5078,643
1,2018-03-04T14:32:25.463Z,24.2,5042,576
1,2018-03-04T14:32:40.149Z,24.28,5030,611
1,2018-03-04T14:41:54.950Z,24.4,4940,551
1,2018-03-04T14:42:09.687Z,24.4,4940,559
1,2018-03-04T14:42:24.441Z,24.5,4938,562
1,2018-03-04T14:42:39.067Z,24.56,4930,570
1,2018-03-04T14:51:54.698Z,24.5,4920,577
1,2018-03-04T14:52:09.334Z,24.54,4921,583
1,2018-03-04T14:52:24.041Z,24.6,4918,584
1,2018-03-04T14:52:38.783Z,24.6,4918,586
1,2018-03-04T15:07:41.386Z,24.96,4948,1030
1,2018-03-04T15:07:55.967Z,24.9,4898,816
1,2018-03-04T15:08:10.615Z,24.9,4880,649
1,2018-03-04T15:08:25.322Z,24.9,4870,588
1,2018-03-04T15:17:39.164Z,24.7,4938,519
1,2018-03-04T15:17:53.894Z,24.67,4928,517
1,2018-03-04T15:19:06.742Z,24.8,4884,647
1,2018-03-04T15:20:22.490Z,25.16,4820,554
1,2018-03-04T15:20:37.661Z,25.2,4808,557
1,2018-03-04T15:20:52.371Z,25.28,4788,552
1,2018-03-04T15:21:06.963Z,25.36,4770,553
1,2018-03-04T15:30:11.360Z,24.9,4878,557
1,2018-03-04T15:30:25.932Z,24.9,4880,561
1,2018-03-04T15:30:40.656Z,24.9,4871,552
1,2018-03-04T15:30:55.260Z,24.9,4866,551
1,2018-03-04T15:40:07.711Z,24.68,5450,2273
1,2018-03-04T15:40:22.315Z,24.68,5166,1909
1,2018-03-04T15:40:36.950Z,24.64,5028,1292
1,2018-03-04T15:40:51.583Z,24.67,4980,917
1,2018-03-04T15:50:47.332Z,24.2,5092,629
1,2018-03-04T15:51:01.961Z,24.2,5071,612
1,2018-03-04T15:51:16.596Z,24.2,5060,597
1,2018-03-04T15:51:31.215Z,24.2,5052,593
1,2018-03-04T16:01:03.096Z,24.3,5015,545
1,2018-03-04T16:02:16.554Z,24.3,5026,613
1,2018-03-04T16:02:31.294Z,24.32,5032,645
1,2018-03-04T16:02:45.909Z,24.3,5013,518
1,2018-03-04T16:03:00.547Z,24.3,5016,533
1,2018-03-04T16:12:32.714Z,24.4,4966,601
1,2018-03-04T16:12:47.336Z,24.4,4978,598
1,2018-03-04T16:13:02.159Z,24.4,4985,598
1,2018-03-04T16:13:16.826Z,24.4,4982,599
1,2018-03-04T16:22:51.911Z,24.4,4950,564
1,2018-03-04T16:23:06.580Z,24.4,4970,515
1,2018-03-04T16:23:21.149Z,24.3,4952,512
1,2018-03-04T16:23:35.748Z,24.32,4952,542
1,2018-03-04T16:33:09.444Z,24.34,4902,606
1,2018-03-04T16:33:24.207Z,24.3,4900,597
1,2018-03-04T16:33:39.230Z,24.28,4911,595
1,2018-03-04T16:34:51.685Z,24.2,4920,548
1,2018-03-04T16:35:06.544Z,24.2,4930,561
1,2018-03-04T16:35:21.269Z,24.2,4910,564
1,2018-03-04T16:35:36.002Z,24.2,4924,568
1,2018-03-04T16:50:37.567Z,25.72,5346,824
1,2018-03-04T16:50:52.264Z,25.81,5094,587
1,2018-03-04T16:51:07.053Z,25.88,4850,618
1,2018-03-04T16:51:21.802Z,25.98,4858,558
1,2018-03-04T17:00:59.006Z,25.3,4537,594
1,2018-03-04T17:01:13.756Z,25.21,4560,580
1,2018-03-04T17:01:28.475Z,25.2,4620,575
1,2018-03-04T17:01:43.126Z,25.14,4592,571
1,2018-03-05T02:59:34.254Z,22.9,5964,670
1,2018-03-05T02:59:48.774Z,22.92,5582,653
1,2018-03-05T03:01:01.925Z,22.93,5348,544
1,2018-03-05T03:01:16.459Z,23,5358,560
1,2018-03-05T03:01:31.036Z,23,5346,580
1,2018-03-05T03:01:45.572Z,23.07,5336,596
1,2018-03-05T03:11:20.729Z,23.4,5220,600
1,2018-03-05T03:11:35.266Z,23.4,5234,583
1,2018-03-05T03:11:49.778Z,23.38,5228,578
1,2018-03-05T03:13:02.955Z,23.38,5228,557
1,2018-03-05T03:13:17.489Z,23.4,5228,564
1,2018-03-05T03:13:32.015Z,23.4,5230,563
1,2018-03-05T03:13:46.544Z,23.44,5236,563
1,2018-03-05T03:23:18.981Z,23.7,5180,550
1,2018-03-05T03:23:33.523Z,23.7,5180,571
1,2018-03-05T03:23:48.067Z,23.7,5180,576
1,2018-03-05T03:24:02.588Z,23.7,5200,580
1,2018-03-05T03:33:39.907Z,23.7,5220,596
1,2018-03-05T03:33:54.444Z,23.7,5222,596
1,2018-03-05T03:34:08.971Z,23.7,5235,596
1,2018-03-05T03:34:23.504Z,23.64,5224,597
1,2018-03-05T03:44:00.946Z,23.9,5160,619
1,2018-03-05T03:44:15.498Z,23.9,5160,629
1,2018-03-05T03:44:30.037Z,23.9,5160,628
1,2018-03-05T03:44:44.584Z,23.9,5160,619
1,2018-03-05T03:54:21.533Z,24.1,5120,542
1,2018-03-05T03:54:36.061Z,24.1,5130,542
1,2018-03-05T03:54:50.630Z,24.08,5132,547
1,2018-03-05T03:55:05.139Z,24.06,5130,551
1,2018-03-05T04:04:42.149Z,24.1,5118,509
1,2018-03-05T04:04:56.678Z,24.1,5130,513
1,2018-03-05T04:05:11.198Z,24.1,5130,508
1,2018-03-05T04:05:25.730Z,24.1,5130,515
1,2018-03-05T04:15:02.477Z,24.3,5248,554
1,2018-03-05T04:15:17.020Z,24.3,5165,562
1,2018-03-05T04:16:30.297Z,24.3,5108,577
1,2018-03-05T04:16:44.837Z,24.3,5110,577
1,2018-03-05T04:16:59.378Z,24.28,5108,573
1,2018-03-05T04:17:13.905Z,24.3,5108,571
1,2018-03-05T04:26:47.269Z,24.52,4940,603
1,2018-03-05T04:27:01.789Z,24.5,4978,626
1,2018-03-05T04:27:16.317Z,24.5,4990,618
1,2018-03-05T04:27:30.836Z,24.5,4998,619
1,2018-03-05T04:37:08.591Z,24.58,4972,627
1,2018-03-05T04:37:23.117Z,24.54,4976,610
1,2018-03-05T04:37:37.661Z,24.5,4980,635
1,2018-03-05T04:37:52.185Z,24.5,5000,644
1,2018-03-05T04:47:33.699Z,24.6,4910,633
1,2018-03-05T04:47:48.238Z,24.6,4915,639
1,2018-03-05T04:48:02.833Z,24.6,4950,648
1,2018-03-05T04:48:17.511Z,24.6,5030,601
1,2018-03-05T04:57:56.369Z,24.6,4900,545
1,2018-03-05T04:59:10.118Z,24.52,4864,520
1,2018-03-05T04:59:24.672Z,24.54,4834,599
1,2018-03-05T04:59:39.227Z,24.56,4832,646
1,2018-03-05T04:59:53.755Z,24.6,4830,645
1,2018-03-05T05:23:21.036Z,25.5,4646,650
1,2018-03-05T05:23:35.573Z,25.5,4664,625
1,2018-03-05T05:23:50.104Z,25.5,4656,611
1,2018-03-05T05:25:03.119Z,25.5,4570,574
1,2018-03-05T05:25:17.689Z,25.5,4548,595
1,2018-03-05T05:25:32.258Z,25.5,4530,605
1,2018-03-05T05:25:46.850Z,25.5,4548,614
1,2018-03-05T05:35:17.402Z,25.2,4708,641
