,time,temp,humid,CO2
2,2018-03-09T02:07:08.139Z,3000,2000,50
2,2018-03-09T02:07:19.801Z,3000,2000,50
2,2018-03-09T02:07:31.566Z,3000,2000,50
2,2018-03-09T02:07:44.204Z,3000,2000,50
2,2018-03-09T02:09:29.065Z,3000,2000,50
2,2018-03-09T02:09:41.735Z,3000,2000,50
2,2018-03-09T02:09:54.438Z,3000,2000,50
2,2018-03-09T02:10:08.485Z,3000,2000,50
2,2018-03-09T02:49:39.916Z,3000,2000,50
2,2018-03-09T02:49:51.579Z,3000,2000,50
2,2018-03-09T02:50:03.217Z,3000,2000,50
2,2018-03-09T02:50:14.861Z,3000,2000,50
2,2018-03-09T03:18:54.925Z,3000,2000,50
2,2018-03-09T03:19:06.621Z,3000,2000,50
2,2018-03-09T03:19:18.312Z,3000,2000,50
2,2018-03-09T03:19:30.375Z,3000,2000,50
2,2018-03-09T03:33:59.986Z,3000,2000,50
2,2018-03-09T03:34:11.693Z,3000,2000,50
2,2018-03-12T03:40:36.325Z,3000,2000,50
2,2018-03-12T09:55:27.800Z,3000,2000,50
2,2018-03-12T09:55:42.990Z,3000,2000,50
2,2018-03-12T11:10:59.950Z,2750,2760,763
2,2018-03-12T11:11:17.499Z,2755,2747,777
2,2018-03-12T11:12:31.380Z,2770,2820,858
2,2018-03-12T11:23:22.734Z,2712,3057,798
2,2018-03-12T11:23:40.238Z,2710,3080,807
2,2018-03-12T11:37:16.814Z,2765,2780,700
2,2018-03-12T11:38:25.169Z,2755,2777,710
2,2018-03-12T11:38:42.717Z,2757,2767,703
2,2018-03-12T11:52:17.187Z,2800,2805,1071
2,2018-03-12T11:53:38.890Z,2797,2825,695
2,2018-03-12T12:35:07.730Z,2870,2607,603
2,2018-03-12T12:35:25.238Z,2870,2600,592
2,2018-03-12T12:49:09.656Z,2840,2727,631
2,2018-03-12T12:49:27.159Z,2840,2742,648
2,2018-03-12T13:03:11.268Z,2817,2935,599
2,2018-03-12T13:03:28.789Z,2815,2934,599
2,2018-03-12T13:31:10.529Z,2770,3160,634
2,2018-03-12T13:31:28.263Z,2770,3145,598
2,2018-03-12T13:59:10.048Z,2760,3420,816
2,2018-03-12T13:59:27.552Z,2760,3412,799
2,2018-03-12T14:13:11.584Z,2770,3502,778
2,2018-03-12T14:13:29.141Z,2770,3475,899
2,2018-03-12T14:41:10.821Z,2750,3540,873
2,2018-03-12T14:41:28.379Z,2742,3540,878
2,2018-03-12T14:55:13.716Z,2740,3700,780
2,2018-03-12T14:55:31.436Z,2740,3705,823
2,2018-03-12T15:09:18.028Z,2740,3780,912
2,2018-03-12T15:10:26.526Z,2760,3750,932
2,2018-03-12T15:10:44.116Z,2765,3732,928
2,2018-03-13T05:59:32.830Z,2767,3895,1114
2,2018-03-13T05:59:50.370Z,2777,3702,999
2,2018-03-13T06:09:35.089Z,2850,3465,862
2,2018-03-13T06:09:52.618Z,2850,3452,864
2,2018-03-14T08:33:48.749Z,2872,2360,497
2,2018-03-14T08:34:06.403Z,2890,2352,535
2,2018-03-14T08:49:28.882Z,3809,1380,584
2,2018-03-14T08:49:46.564Z,3767,1387,568
2,2018-03-14T09:04:03.465Z,4025,1057,521
2,2018-03-14T09:04:21.109Z,3969,1095,563
2,2018-03-14T09:18:26.852Z,4059,987,532
2,2018-03-14T09:18:44.841Z,3997,1000,567
2,2018-03-14T09:32:52.993Z,4100,1010,574
2,2018-03-14T09:33:10.694Z,4042,1050,584
2,2018-03-14T09:47:19.934Z,4110,930,573
2,2018-03-14T09:47:37.629Z,4059,947,588
2,2018-03-14T10:01:44.638Z,4102,900,611
2,2018-03-14T10:02:02.319Z,4040,960,581
2,2018-03-14T10:16:10.134Z,4115,912,588
2,2018-03-14T10:16:27.797Z,4050,932,591
2,2018-03-14T10:30:35.629Z,4105,895,588
2,2018-03-14T10:30:53.303Z,4042,932,558
2,2018-03-14T10:45:01.839Z,4092,895,577
2,2018-03-14T10:45:19.495Z,4040,889,599
2,2018-03-13T05:59:32.830Z,2767,3895,1114
2,2018-03-13T05:59:50.370Z,2777,3702,999
2,2018-03-13T06:09:35.089Z,2850,3465,862
2,2018-03-13T06:09:52.618Z,2850,3452,864
2,2018-03-14T08:33:48.749Z,2872,2360,497
2,2018-03-14T08:34:06.403Z,2890,2352,535
2,2018-03-14T08:49:28.882Z,3809,1380,584
2,2018-03-14T08:49:46.564Z,3767,1387,568
